DateTime,AddedIPs,RemovedIPs
1475566800,45,76
1475570400,67,140
1475572201,1,0
1475574000,113,140
1475577600,120,186
1475581200,155,145
1475584801,147,137
1475588401,130,205
1475590200,1,0
1475592000,146,197
1475595600,163,69
1475597400,0,1
1475599201,213,109
1475602800,240,157
1475606400,101,167
1475610000,82,162
1475613600,115,172
1475617200,118,152
1475620800,141,125
1475622601,1,0
1475624400,140,121
1475626201,6,0
1475628000,147,145
1475631600,187,162
1475635200,194,179
1475637600,10,0
1475638800,145,176
1475642400,138,151
1475644200,11,0
1475646000,134,92
1475648401,1,0
1475649600,108,122
1475651400,15,0
1475653200,45,160
1475656800,65,181
1475660400,49,181
1475664000,106,186
1475665800,4,0
1475667600,112,167
1475671201,136,206
1475674800,172,149
1475678401,178,111
1475682000,146,120
1475685600,202,108
1475689200,97,105
1475692800,80,116
1475696400,123,110
1475700000,121,129
1475703600,125,151
1475707200,153,172
1475710800,138,200
1475714400,71,212
1475718000,44,198
1475721600,46,218
1475725200,42,221
1475728800,47,231
1475732401,38,138
1475736000,56,132
1475737800,1,0
1475739600,56,115
1475743200,37,133
1475746800,80,129
1475750401,113,129
1475754000,124,143
1475757600,126,140
1475759400,19,0
1475761200,136,136
1475764800,164,231
1475769000,167,151
1475772000,218,240
1475775600,154,145
1475779200,73,118
1475781000,0,1
1475782800,41,203
1475786400,52,270
1475790001,72,189
1475793600,110,191
1475797200,105,248
1475800800,122,219
1475804400,128,250
1475808000,128,359
1475811600,138,266
1475815200,125,353
1475818800,165,231
1475822400,101,156
1475824200,20,0
1475826000,49,152
1475829600,52,150
1475832000,7,0
1475833200,36,144
1475836800,54,160
1475840400,39,183
1475844000,50,215
1475847600,37,243
1475850000,0,1
1475851200,39,239
1475854800,47,180
1475858400,31,161
1475862001,31,158
1475865601,46,208
1475869200,35,199
1475872800,38,166
1475876400,30,218
1475880000,40,230
1475883600,29,193
1475887200,44,242
1475890800,47,223
1475894400,41,254
1475898000,31,236
1475901600,43,103
1475905200,40,128
1475908800,50,161
1475912400,31,185
1475916003,58,208
1475919600,49,216
1475923200,44,264
1475926801,56,426
1475930400,56,371
1475934001,50,313
1475937600,55,126
1475941200,45,135
1475944800,33,122
1475948400,31,132
1475952000,41,125
1475955600,35,103
1475959200,41,83
1475962800,32,100
1475966400,34,82
1475970000,32,88
1475973600,29,81
1475975400,0,1
1475977200,20,97
1475980800,38,121
1475984400,29,132
1475988000,31,146
1475991600,43,146
1475995201,47,172
1475998800,37,149
1476002400,43,152
1476006000,31,179
1476009600,38,182
1476013200,41,188
1476016800,60,172
1476020400,36,145
1476024000,37,142
1476027600,30,124
1476031200,36,149
